GNa,GNaL,Gto,GKr_,GKs_,GK1,Gncx,GKb,GpCa,PCa_,Pnak,PNab,PCab,SERCA_total,RyR_total,Leak_total,Trans_total
1.175037594,1.733539903,0.507806881,1.295182998,1.100351387,0.67549705,0.878027287,1.108255702,2.925657032,2.29522553,0.666999434,1.24311617,0.981261331,1.239146543,0.940362521,0.963441697,1.563472458
1.529831692,1.223174025,0.69611105,1.24007467,1.630799828,1.157969605,1.363981373,1.243668575,0.912988242,1.092164427,0.789634703,0.70884313,0.725669111,0.784389471,0.413422483,1.539586829,1.102474459
1.508460451,0.598424491,0.969792902,0.930127028,1.100497138,1.098403299,0.771464999,0.991025128,0.9517397,1.207210331,1.388160793,0.77174905,1.023479122,0.694727836,0.716017821,0.997947311,1.583739927
1.117857206,0.934563858,1.398229567,0.721286188,1.009815094,1.180287563,1.39122279,1.589252164,1.026114501,0.639238859,0.800362482,2.024124309,0.831369811,1.251600378,0.943908965,1.305496108,0.794966923
0.652650981,1.157726506,0.948178459,0.942880199,1.530803935,1.091415319,1.061139484,1.610121637,0.785574653,1.232429377,1.284701569,1.066840019,0.704862043,0.708655452,1.031962588,1.241941908,2.171997771
1.057808492,0.975555401,0.559950509,0.876612838,0.583679264,1.286740992,0.766125239,1.030483232,0.849286513,1.095330603,0.835188385,1.248332845,1.671240784,0.943426272,0.526498614,0.777340637,1.501370411
1.334139028,1.037916087,1.538809379,0.555287101,0.942415077,0.696036174,2.392652084,1.280903474,1.512390624,0.728000112,0.868850093,1.390310892,0.920018427,1.234248691,0.540346386,0.899285249,0.781081362
1.164617137,1.088276464,1.010094575,0.67025075,1.402487833,1.110770394,0.914187296,1.006890569,0.92441088,0.591517677,0.917873873,0.745453969,0.706861524,0.852086584,0.548377851,1.335450685,1.168847278
0.989622892,0.787061353,1.357446803,0.960822833,0.807058559,1.499925935,0.934791923,0.838023858,0.915645425,0.775398744,0.7145956,1.643206109,1.096650515,0.685823133,0.771328899,0.948417726,1.267979665
0.497101948,0.647439978,1.10522977,1.124576006,1.145113577,0.961668583,1.056653384,0.866887642,1.295124052,0.664640929,1.146265042,0.904415788,1.180378328,1.365782051,0.715129521,1.45965136,1.21901474
0.943115654,0.936803337,0.913079537,1.006937642,1.015506098,1.2812278,1.581056044,1.150359303,0.939024225,1.206299136,1.056506995,1.329451631,1.096494832,1.041385963,1.167160529,1.081578878,0.753937556
0.95712968,0.852481805,1.656374335,0.768958095,0.864897293,0.807670287,0.703094692,0.943959652,0.921068317,1.582525129,0.928014963,1.617751447,1.448319247,0.933431279,0.636450959,0.875125176,0.954295115
0.924641584,1.142280353,1.124758407,0.687149311,0.75247442,0.800649642,0.858691753,0.908307181,1.003747718,0.403026403,0.871879204,0.726141471,1.323286545,1.110817577,0.991336021,1.056261355,0.62530434
1.617988814,1.029943898,1.012489434,0.802317605,0.990798477,1.072190877,1.13645784,0.894184971,0.931521158,1.835115213,0.507881975,1.106574392,1.349883437,0.606986127,0.837771097,0.919965372,1.135206653
1.151989328,0.694992545,1.020055476,1.216170231,1.103092932,1.383740101,1.352322025,0.822610613,1.080168284,0.753283716,0.672645687,1.000014955,0.983659307,1.314344654,1.195273595,1.110777646,1.455101079
1.074579022,0.81293158,0.82245123,1.429937249,0.61659115,0.992688281,0.557298568,1.35818521,1.295005433,1.000348686,0.978973051,1.190474178,0.518025673,0.498683281,1.024269948,0.752357029,1.13139025
1.293458662,0.812736982,1.144323104,1.030650344,1.281230571,1.174505401,1.309134887,0.961191748,0.956800439,1.353010381,0.528825569,0.683056066,0.891566331,1.21482955,1.281098797,0.737504497,0.868210594
0.916164805,1.094771391,1.127473493,0.756548628,0.948333467,0.527488413,1.410026521,0.828012334,0.696870981,0.926646239,0.651424315,0.845185204,1.921937156,1.407112337,0.472807972,1.141562662,0.657413973
1.050557759,1.251471687,0.921351113,1.604624935,0.865644342,1.103242572,1.220694838,1.025885947,1.302500444,1.101820643,0.790378088,1.746437301,0.834135828,1.03149367,1.184061037,1.034666445,0.762297893
0.963226219,1.55844347,0.772406196,1.265415517,1.097008514,0.932246502,0.72826388,0.918289768,0.974328187,0.643509479,1.059349111,0.972123742,1.106126201,0.762314394,0.917156727,1.110731522,0.576512796
2.0695648,1.333517453,0.909617044,1.137220132,0.73286378,1.756564018,1.326058914,1.266432299,0.768924665,1.100742267,0.845786525,0.842819066,0.735121061,0.761379259,0.938972393,0.600700247,1.19995034
1.233367336,1.084256602,1.1598447,0.640865094,0.736328215,0.874503919,1.033444686,1.403011413,0.91668726,1.460042019,1.153300052,1.038818615,0.821153862,0.641196241,1.047751772,1.278343898,0.915965628
0.911564847,0.719658856,0.862514823,0.947221983,1.01384733,0.981046975,1.201295501,1.033339002,1.723237235,1.09812826,1.718321825,1.171124164,0.924894818,1.197268548,1.195039499,0.51902331,0.671586171
1.128120924,1.554354558,0.906608769,1.275957531,1.177816183,0.729431589,1.126640391,0.798062454,1.575984362,0.990277618,1.633622427,1.193428205,0.981338947,0.545208124,0.744800071,1.20171943,0.983668982
0.828686334,1.077728216,0.742371341,1.33975273,0.825131219,1.720575428,0.723279263,1.061578375,0.633618672,0.804858062,0.836963268,1.326627484,1.094333815,0.894114713,1.277169821,1.270824748,1.03671969
1.131833408,0.743721557,1.25592267,0.821058933,0.834288891,1.05451827,0.911876203,0.961225635,1.195551162,1.368957957,0.942341456,0.931005167,1.071306646,1.141107602,0.831054603,1.0859455,1.19761324
1.68026651,0.833128628,0.801622138,0.591576784,1.314090477,1.297091909,0.976317096,1.309365668,1.056657926,1.091155297,1.034463997,1.030968584,2.307582797,0.704688436,0.573332343,0.710203065,0.720360832
0.950714983,0.936542789,1.176331069,1.123871995,1.252784527,1.704849385,1.44328067,0.680466401,0.497238069,1.310723717,0.576550927,1.010700693,1.95062615,0.979449817,0.858819146,1.073305246,1.076528439
0.833122863,0.692963456,1.099603993,0.668405154,0.733699817,1.49087734,0.881904982,0.958777238,1.30989463,0.91390075,1.361803213,1.355052988,1.207799822,0.93809456,0.771275846,0.731299281,0.922174654
0.884615409,1.343211745,0.914562799,1.409314863,0.852581873,1.338794682,0.854981758,1.054401533,1.338060727,0.883210529,0.876795798,1.330158423,0.878445726,1.214924848,0.89760705,1.23585805,1.529215289
1.361593794,1.548660454,1.014343289,1.688561551,1.047719874,0.689950167,0.517861067,0.904817403,1.238700679,1.099903358,1.132109965,1.044147268,0.611647148,0.796102765,0.782205388,1.168731142,0.995760992
0.997146604,0.813065862,0.818722774,1.295951049,1.034611331,1.126943222,1.303679912,1.055566203,1.179695503,1.227389164,1.420746728,1.52755712,1.006805599,0.985741802,1.665958105,0.858203941,0.999143879
1.04596784,1.524215778,1.36374755,1.091410708,0.791908391,1.185315317,0.660481379,1.076098933,1.274471574,1.06599913,1.30200209,1.319403492,1.083368571,1.212274627,1.136150287,0.674072875,0.882564535
0.987009848,1.190921031,0.739375016,1.019543545,1.197322226,0.664676724,1.109908733,0.946908354,0.754378966,0.988803199,0.566152757,0.702523098,0.742925383,0.703343632,0.595932224,1.090316942,0.61986404
1.266326264,0.999332187,1.028326402,0.892751407,0.640950638,0.98694045,1.334087535,1.68450791,0.878919583,0.613732066,1.05117044,0.934180935,0.708451493,1.835468532,0.492698894,0.858136918,0.672678566
1.100049772,1.042283931,0.80797794,1.26250906,1.20528756,1.21435645,0.880126612,1.369676017,1.219220995,2.122578752,1.375803455,1.016020624,0.67941999,0.894610926,0.796651807,0.844347892,1.181212635
0.764499475,0.884442022,0.952880259,1.130658639,0.751419797,1.099873575,1.023682095,1.487825465,0.938050826,0.960459375,0.70369747,1.097629106,0.927885702,1.163139968,0.765061986,1.772788444,1.037349819
0.934189417,0.95241865,1.230001722,1.181431728,0.714568439,0.631404924,0.719383754,0.653945021,1.018031822,0.88393188,0.89547299,1.263480518,1.140906741,0.973471486,1.358463165,0.769361877,1.132480192
1.1104622,0.803503145,1.103020223,0.856873919,0.764193809,0.69699262,1.365259734,0.775859941,0.949448344,0.695867774,0.914719297,0.721741838,0.651856491,0.737613555,0.938023613,0.907007705,1.791976745
0.927734503,0.624505813,0.866567911,0.669386943,1.009131144,1.291657181,1.1289365,0.810433439,0.613139458,1.549611037,1.849680312,0.743065946,1.432371471,0.837112453,0.868538983,1.30462183,0.659966673
1.134514845,1.127746506,1.028953892,1.160679161,1.383577006,1.337944307,0.84318333,1.275057942,1.053348578,0.859278006,0.699078851,0.8993466,1.014027838,0.78829393,0.628038165,1.05282382,0.981530945
1.271899206,1.371618424,0.798785343,0.755105391,0.683365084,1.161130601,2.308791756,1.243924886,0.793010172,1.285297394,0.712839426,1.24015044,0.79185922,1.099434288,1.524948351,1.127877323,1.321672639
1.21952431,1.899423988,1.176262247,0.629856569,0.94087702,0.860716957,1.121769303,1.131575165,1.129356233,0.896610062,0.835452644,1.291833142,0.57355444,0.939703435,1.084493937,0.822150917,1.153923859
0.754658171,1.049599917,0.922696549,0.884297447,0.807835514,1.018604593,0.574739278,0.887364065,0.849536446,0.76065943,1.216295273,1.17608359,1.340110757,0.954029081,1.086911074,1.211495069,0.975999305
0.684703451,1.395324706,0.743141503,0.577728768,1.514900187,0.981357916,1.144166399,0.896750557,0.73625775,0.397763941,1.206693168,0.94251554,1.129394459,0.653244014,0.803455425,1.410858455,1.196450659
0.516345444,0.842506505,1.066304512,1.326724443,1.028516679,0.714127675,1.09619747,0.703490814,0.749544216,0.821913184,0.691551196,0.76339093,0.917864189,0.8704661,0.884320642,0.859794652,1.447718883
1.017879607,0.643982312,0.614011894,0.554645713,2.184875233,1.338718005,1.080143919,0.74656534,0.70899322,1.178558229,1.599234689,0.873873887,0.975029432,0.550130832,1.287076928,0.883028612,1.774740565
1.130606964,0.70983094,0.829062999,0.704253533,1.124988242,1.477796093,0.836864986,1.139868172,0.859582267,1.031106311,1.431718058,0.732675029,0.773266931,0.950314505,0.944121433,0.771248567,1.055694918
0.927418104,0.940474245,0.516615409,0.792665524,0.658374227,0.890590641,1.170786687,1.579298534,1.715231978,0.965542384,0.908410549,1.158409283,1.258065656,1.262992258,0.641406696,1.175988638,0.972911938
0.812143173,1.46878764,0.784333252,0.690012541,1.06652525,1.828016557,1.007695792,1.096901987,0.754670414,1.652459502,1.038208314,0.751547799,1.292027701,1.123831378,0.706946473,1.011993389,0.873559023
0.92758963,0.944621939,0.733539337,0.907567281,1.258547221,1.687759575,0.705988749,2.040558522,1.580629821,1.051851821,0.91360044,1.283808656,0.811897177,0.870606749,1.303541956,1.139720725,1.308686823
0.886681762,0.857139665,1.269864598,0.817620449,1.427604283,1.267708058,1.09015125,1.000968303,1.115926673,2.880613653,0.966831549,1.776296695,1.200758951,0.823350336,2.192846505,1.179729443,1.092273283
0.726527438,0.588296498,0.880843013,0.729109955,1.214492839,0.909110658,1.700117678,1.573299047,1.050433667,0.918669258,1.412907647,1.22398216,0.818130108,0.886834578,0.817470283,1.188496075,0.791814561
1.180447366,0.880708439,1.114578325,0.899814388,1.084221494,0.463321164,1.14999689,1.743802865,1.365863463,1.314253697,0.930605913,1.076026257,1.029340047,0.779470412,0.899716419,0.94891836,0.865718028
2.141496326,0.67233384,1.039252889,0.648746171,1.478092585,1.526493767,0.607281469,1.791593314,0.722231513,1.070414217,1.390521367,1.991124877,2.283632469,1.042368281,0.564327872,0.896284048,0.775355998
0.712975341,1.02373394,1.881348669,0.806739698,0.919289032,1.418985956,1.438853226,1.156805464,1.360435604,1.298510458,0.891787536,0.91416961,0.763409606,1.209761991,1.020442215,0.945410397,1.091462169
1.125109508,1.060102299,1.08755873,1.015484759,0.792676668,1.266218011,1.526033805,0.85194818,1.78305383,0.948499265,0.929484536,0.788438352,0.751343451,1.112012722,1.614633341,1.171448568,1.292089519
0.472432673,0.950974723,1.111715807,1.240080278,0.676072141,0.73951502,1.267701022,0.965633034,1.180486883,0.749616571,0.612540192,1.430454385,1.631691431,0.631500288,0.669612748,0.642650692,0.987578865
1.483266044,0.646281588,0.592914682,1.063527704,1.430292716,0.785961925,0.684072805,0.956189268,0.612054466,1.005216865,1.282121567,0.563959144,0.851252447,0.913374141,1.723013236,1.315814053,0.983021571
0.730942301,0.900792774,1.527707657,1.569433739,1.2449717,1.158615412,0.838753983,1.250407996,0.780011597,1.188100983,1.088229882,0.880064258,1.210268175,1.268650103,0.763751248,1.047989381,1.614743585
0.911569463,1.14682572,0.920783584,1.142184986,0.960376832,0.99451662,1.148247455,1.504852128,1.145180619,1.63970295,0.544161834,1.073364342,0.77837109,0.681958448,1.203351432,1.201788004,1.09069417
0.770150867,0.861305073,0.968505086,0.813549309,1.104689459,2.033111591,0.865308476,1.214380976,0.733206854,1.494611608,0.747708482,0.830624039,1.166029856,1.003412059,0.986890105,2.422324854,0.827775035
2.236489957,0.70892382,1.180454606,0.724019088,1.362323742,1.103248427,1.216085925,0.919745447,1.0763304,1.555433125,0.505336638,1.132741365,0.821658307,0.91493295,0.638217807,0.762273141,0.885808525
